Sample_ID,host,site,habitat,position,number,latitude,longitude,elevation,pH,sample_type,SID
Fungi_A01_2,Vaccinium smallii,Arayu-Jigoku,Solfatara field,1,2,38.818046,140.726562,607,3.48,Root,A1
Fungi_A01_3,Vaccinium smallii,Arayu-Jigoku,Solfatara field,1,3,38.818046,140.726562,607,3.48,Root,A1
Fungi_A03_2,Rhododendron spp.,Arayu-Jigoku,Solfatara field,3,2,38.818301,140.726886,607,3.78,Root,A3
Fungi_A03_3,Eubotryoides grayana,Arayu-Jigoku,Solfatara field,3,3,38.818301,140.726886,607,3.78,Root,A3
Fungi_A12_1,Eubotryoides grayana,Arayu-Jigoku,Solfatara field,12,1,38.818415,140.727614,606,3.99,Root,A12
Fungi_A12_2,Rhododendron spp.,Arayu-Jigoku,Solfatara field,12,2,38.818415,140.727614,606,3.99,Root,A12
Fungi_A22_1,Rhododendron spp.,Arayu-Jigoku,Solfatara field,22,1,38.818567,140.728443,599,3.21,Root,A22
Fungi_A32_1,Enkianthus campanulatus,Arayu-Jigoku,Solfatara field,32,1,38.818798,140.728836,595,2.84,Root,A32
Fungi_A32_2,Eubotryoides grayana,Arayu-Jigoku,Solfatara field,32,2,38.818798,140.728836,595,2.84,Root,A32
Fungi_B01_1,Enkianthus campanulatus,Arayu-Jigoku,Forest edge,1,1,38.8187435,140.726338,606,3.66,Root,B1
Fungi_B01_2,Rhododendron spp.,Arayu-Jigoku,Forest edge,1,2,38.8187435,140.726338,606,3.66,Root,B1
Fungi_B01_3,Rhododendron spp.,Arayu-Jigoku,Forest edge,1,3,38.8187435,140.726338,606,3.66,Root,B1
Fungi_B13_2,Vaccinium smallii,Arayu-Jigoku,Forest edge,13,2,38.817897,140.72664,610,2.88,Root,B13
Fungi_B20_3,Pinus parviflora,Arayu-Jigoku,Forest edge,20,3,38.818224,140.726876,607,2.56,Root,B20
Fungi_B28_1,Rhododendron spp.,Arayu-Jigoku,Forest edge,28,2,38.818361,140.727735,606,2.98,Root,B28
Fungi_B28_2,Eubotryoides grayana,Arayu-Jigoku,Forest edge,28,1,38.818361,140.727735,606,2.98,Root,B28
Fungi_B28_4,Enkianthus campanulatus,Arayu-Jigoku,Forest edge,28,4,38.818361,140.727735,606,2.98,Root,B28
Fungi_B40_2,Eubotryoides grayana,Arayu-Jigoku,Forest edge,40,2,38.818815,140.72892,592,2.23,Root,B40
Fungi_B40_3,Eubotryoides grayana,Arayu-Jigoku,Forest edge,40,3,38.818815,140.72892,592,2.23,Root,B40
Fungi_JA1_1,Eubotryoides grayana,Ofukasawa,Solfatara field,1,1,38.811815,140.713531,528,3.16,Root,JA1
Fungi_JA1_2,Eubotryoides grayana,Ofukasawa,Solfatara field,1,2,38.811815,140.713531,528,3.16,Root,JA1
Fungi_JA1_3,Pinus parviflora,Ofukasawa,Solfatara field,1,3,38.811815,140.713531,528,3.16,Root,JA1
Fungi_JA11_1,Eubotryoides grayana,Ofukasawa,Solfatara field,11,1,38.811121,140.712915,526,3.11,Root,JA11
Fungi_JA11_2,Eubotryoides grayana,Ofukasawa,Solfatara field,11,2,38.811121,140.712915,526,3.11,Root,JA11
Fungi_JA15_1,Eubotryoides grayana,Ofukasawa,Solfatara field,15,1,38.811245,140.713017,527,3.46,Root,JA15
Fungi_JA15_2,Eubotryoides grayana,Ofukasawa,Solfatara field,15,2,38.811245,140.713017,527,3.46,Root,JA15
Fungi_JA7_1,Rhododendron spp.,Ofukasawa,Solfatara field,7,1,38.811427,140.713116,529,2.96,Root,JA7
Fungi_JA9_1,Eubotryoides grayana,Ofukasawa,Solfatara field,9,1,38.81108,140.712355,527,2.79,Root,JA9
Fungi_JA9_2,Eubotryoides grayana,Ofukasawa,Solfatara field,9,2,38.81108,140.712355,527,2.79,Root,JA9
Fungi_JA9_3,Eubotryoides grayana,Ofukasawa,Solfatara field,9,3,38.81108,140.712355,527,2.79,Root,JA9
Fungi_JB1_1,Pinus parviflora,Ofukasawa,Forest edge,1,1,38.811858,140.713577,529,2.57,Root,JB1
Fungi_JB1_2,Vaccinium smallii,Ofukasawa,Forest edge,1,2,38.811858,140.713577,529,2.57,Root,JB1
Fungi_JB1_3,Vaccinium smallii,Ofukasawa,Forest edge,1,3,38.811858,140.713577,529,2.57,Root,JB1
Fungi_JB11_1,Vaccinium smallii,Ofukasawa,Forest edge,11,1,38.811329,140.712776,532,2.65,Root,JB11
Fungi_JB11_2,Rhododendron spp.,Ofukasawa,Forest edge,11,2,38.811329,140.712776,532,2.65,Root,JB11
Fungi_JB11_3,Rhododendron spp.,Ofukasawa,Forest edge,11,3,38.811329,140.712776,532,2.65,Root,JB11
Fungi_JB11_4,Rhododendron spp.,Ofukasawa,Forest edge,11,4,38.811329,140.712776,532,2.65,Root,JB11
Fungi_JB15_1,Pinus parviflora,Ofukasawa,Forest edge,15,1,38.811345,140.712607,537,2.84,Root,JB15
Fungi_JB15_2,Enkianthus campanulatus,Ofukasawa,Forest edge,15,2,38.811345,140.712607,537,2.84,Root,JB15
Fungi_JB15_3,Rhododendron spp.,Ofukasawa,Forest edge,15,3,38.811345,140.712607,537,2.84,Root,JB15
