"","Sample_ID","host","site","habitat","position","number","latitude","longitude","elevation","pH","sample_type","SID"
"Fungi_A01_2","Fungi_A01_2","Vaccinium smallii","Arayu-Jigoku","Solfatara field",1,2,38.818046,140.726562,607,3.48,"Root","A1"
"Fungi_A01_3","Fungi_A01_3","Vaccinium smallii","Arayu-Jigoku","Solfatara field",1,3,38.818046,140.726562,607,3.48,"Root","A1"
"Fungi_A02_1","Fungi_A02_1","Eubotryoides grayana","Arayu-Jigoku","Solfatara field",2,1,38.818101,140.726547,607,3.66,"Root","A2"
"Fungi_A03_2","Fungi_A03_2","Rhododendron spp.","Arayu-Jigoku","Solfatara field",3,2,38.818301,140.726886,607,3.78,"Root","A3"
"Fungi_A03_3","Fungi_A03_3","Eubotryoides grayana","Arayu-Jigoku","Solfatara field",3,3,38.818301,140.726886,607,3.78,"Root","A3"
"Fungi_A04_1","Fungi_A04_1","Rhododendron spp.","Arayu-Jigoku","Solfatara field",4,1,38.818288,140.726962,607,3.66,"Root","A4"
"Fungi_A05_1","Fungi_A05_1","Rhododendron spp.","Arayu-Jigoku","Solfatara field",5,1,38.818242,140.726982,607,3.76,"Root","A5"
"Fungi_A05_2","Fungi_A05_2","Eubotryoides grayana","Arayu-Jigoku","Solfatara field",5,2,38.818242,140.726982,607,3.76,"Root","A5"
"Fungi_A06_1","Fungi_A06_1","Rhododendron spp.","Arayu-Jigoku","Solfatara field",6,1,38.81828,140.727018,607,3.9,"Root","A6"
"Fungi_A06_2","Fungi_A06_2","Pinus parviflora","Arayu-Jigoku","Solfatara field",6,2,38.81828,140.727018,607,3.9,"Root","A6"
"Fungi_A07_1","Fungi_A07_1","Rhododendron spp.","Arayu-Jigoku","Solfatara field",7,1,38.818289,140.727058,607,3.75,"Root","A7"
"Fungi_A07_2","Fungi_A07_2","Eubotryoides grayana","Arayu-Jigoku","Solfatara field",7,2,38.818289,140.727058,607,3.75,"Root","A7"
"Fungi_A07_3","Fungi_A07_3","Betula ermanii","Arayu-Jigoku","Solfatara field",7,3,38.818289,140.727058,607,3.75,"Root","A7"
"Fungi_A08_1","Fungi_A08_1","Rhododendron spp.","Arayu-Jigoku","Solfatara field",8,1,38.818305,140.727058,608,3.76,"Root","A8"
"Fungi_A08_2","Fungi_A08_2","Eubotryoides grayana","Arayu-Jigoku","Solfatara field",8,2,38.818305,140.727058,608,3.76,"Root","A8"
"Fungi_A09_1","Fungi_A09_1","Eubotryoides grayana","Arayu-Jigoku","Solfatara field",9,1,38.818349,140.727259,605,3.77,"Root","A9"
"Fungi_A09_2","Fungi_A09_2","Rhododendron spp.","Arayu-Jigoku","Solfatara field",9,2,38.818349,140.727259,605,3.77,"Root","A9"
"Fungi_A10_1","Fungi_A10_1","Pinus parviflora","Arayu-Jigoku","Solfatara field",10,1,38.818384,140.727427,605,4.08,"Root","A10"
"Fungi_A11_1","Fungi_A11_1","Eubotryoides grayana","Arayu-Jigoku","Solfatara field",11,1,38.818342,140.727532,605,3.96,"Root","A11"
"Fungi_A11_2","Fungi_A11_2","Rhododendron spp.","Arayu-Jigoku","Solfatara field",11,2,38.818342,140.727532,605,3.96,"Root","A11"
