Sample_ID,OTU,Count,Identities
Plant_A01_2,X_002,4,Vaccinium smallii
Plant_A01_3,X_002,270,Vaccinium smallii
Plant_A02_1,X_004,38,Eubotryoides grayana
Plant_A03_2,X_001,427,Rhododendron spp.
Plant_A03_3,X_004,81,Eubotryoides grayana
Plant_A04_1,X_001,803,Rhododendron spp.
Plant_A05_1,X_001,11,Rhododendron spp.
Plant_A05_2,X_004,114,Eubotryoides grayana
Plant_A06_1,X_001,332,Rhododendron spp.
Plant_A06_2,X_005,167,Pinus parviflora
Plant_A07_1,X_001,449,Rhododendron spp.
Plant_A07_2,X_004,274,Eubotryoides grayana
Plant_A07_3,X_006,114,Betula ermanii
Plant_A08_1,X_001,888,Rhododendron spp.
Plant_A08_2,X_004,351,Eubotryoides grayana
Plant_A09_1,X_004,259,Eubotryoides grayana
Plant_A09_2,X_001,560,Rhododendron spp.
Plant_A10_1,X_005,242,Pinus parviflora
Plant_A11_1,X_004,91,Eubotryoides grayana
Plant_A11_2,X_001,475,Rhododendron spp.
Plant_A11_3,X_005,125,Pinus parviflora
Plant_A12_1,X_004,949,Eubotryoides grayana
Plant_A12_2,X_001,230,Rhododendron spp.
Plant_A13_1,X_005,316,Pinus parviflora
Plant_A14_1,X_012,28,Enkianthus campanulatus
Plant_A14_2,X_004,41,Eubotryoides grayana
Plant_A14_3,X_001,323,Rhododendron spp.
Plant_A15_1,X_001,233,Rhododendron spp.
Plant_A16_1,X_001,78,Rhododendron spp.
Plant_A17_1,X_012,3,Enkianthus campanulatus
Plant_A18_1,X_006,492,Betula ermanii
Plant_A19_1,X_004,343,Eubotryoides grayana
Plant_A19_2,X_001,17,Rhododendron spp.
Plant_A19_3,X_005,207,Pinus parviflora
Plant_A20_1,X_012,64,Enkianthus campanulatus
Plant_A22_1,X_001,381,Rhododendron spp.
Plant_A23_1,X_001,355,Rhododendron spp.
Plant_A24_1,X_012,139,Enkianthus campanulatus
Plant_A24_2,X_001,55,Rhododendron spp.
Plant_A25_1,X_012,20,Enkianthus campanulatus
Plant_A25_2,X_001,212,Rhododendron spp.
Plant_A26_1,X_004,246,Eubotryoides grayana
Plant_A27_1,X_004,406,Eubotryoides grayana
Plant_A27_2,X_001,330,Rhododendron spp.
Plant_A27_3,X_001,346,Rhododendron spp.
Plant_A28_1,X_001,534,Rhododendron spp.
Plant_A28_2,X_004,314,Eubotryoides grayana
Plant_A28_3,X_001,267,Rhododendron spp.
Plant_A28_4,X_005,95,Pinus parviflora
Plant_A29_1,X_004,330,Eubotryoides grayana
Plant_A29_2,X_001,474,Rhododendron spp.
Plant_A30_1,X_004,730,Eubotryoides grayana
Plant_A30_2,X_001,291,Rhododendron spp.
Plant_A30_3,X_001,298,Rhododendron spp.
Plant_A31_1,X_001,273,Rhododendron spp.
Plant_A31_2,X_001,179,Rhododendron spp.
Plant_A31_3,X_001,372,Rhododendron spp.
Plant_A32_1,X_012,364,Enkianthus campanulatus
Plant_A32_2,X_004,559,Eubotryoides grayana
Plant_A33_1,X_012,86,Enkianthus campanulatus
Plant_A33_2,X_004,98,Eubotryoides grayana
Plant_A34_1,X_012,13,Enkianthus campanulatus
Plant_A34_2,X_004,344,Eubotryoides grayana
Plant_A34_3,X_001,49,Rhododendron spp.
Plant_A35_1,X_006,503,Betula ermanii
Plant_A36_1,X_012,41,Enkianthus campanulatus
Plant_A36_2,X_001,837,Rhododendron spp.
Plant_A36_3,X_012,5,Enkianthus campanulatus
Plant_A37_1,X_001,531,Rhododendron spp.
Plant_A37_2,X_001,347,Rhododendron spp.
Plant_B01_1,X_012,235,Enkianthus campanulatus
Plant_B01_2,X_001,5,Rhododendron spp.
Plant_B01_3,X_001,15,Rhododendron spp.
Plant_B02_2,X_004,174,Eubotryoides grayana
Plant_B02_3,X_001,534,Rhododendron spp.
Plant_B03_1,X_001,665,Rhododendron spp.
Plant_B03_2,X_001,436,Rhododendron spp.
Plant_B04_1,X_004,40,Eubotryoides grayana
Plant_B04_5,X_006,372,Betula ermanii
Plant_B05_3,X_001,11,Rhododendron spp.
Plant_B06_1,X_001,485,Rhododendron spp.
Plant_B06_2,X_004,977,Eubotryoides grayana
Plant_B06_3,X_006,308,Betula ermanii
Plant_B06_4,X_006,263,Betula ermanii
Plant_B07_2,X_001,528,Rhododendron spp.
Plant_B08_2,X_001,346,Rhododendron spp.
Plant_B08_3,X_006,602,Betula ermanii
Plant_B09_1,X_001,681,Rhododendron spp.
Plant_B09_2,X_001,525,Rhododendron spp.
Plant_B10_2,X_001,506,Rhododendron spp.
Plant_B11_3,X_001,799,Rhododendron spp.
Plant_B12_1,X_001,638,Rhododendron spp.
Plant_B13_2,X_002,727,Vaccinium smallii
Plant_B14_1,X_002,5,Vaccinium smallii
Plant_B14_2,X_001,241,Rhododendron spp.
Plant_B14_5,X_001,490,Rhododendron spp.
Plant_B15_2,X_005,335,Pinus parviflora
Plant_B15_3,X_001,417,Rhododendron spp.
Plant_B15_4,X_002,618,Vaccinium smallii
Plant_B16_1,X_005,347,Pinus parviflora
Plant_B16_2,X_002,365,Vaccinium smallii
Plant_B17_1,X_002,351,Vaccinium smallii
Plant_B18_1,X_002,945,Vaccinium smallii
Plant_B18_4,X_001,615,Rhododendron spp.
Plant_B19_1,X_012,1131,Enkianthus campanulatus
Plant_B19_3,X_005,444,Pinus parviflora
Plant_B19_4,X_001,1282,Rhododendron spp.
Plant_B20_3,X_005,188,Pinus parviflora
Plant_B21_3,X_001,682,Rhododendron spp.
Plant_B21_4,X_001,1604,Rhododendron spp.
Plant_B22_1,X_001,394,Rhododendron spp.
Plant_B22_2,X_001,682,Rhododendron spp.
Plant_B23_3,X_006,1228,Betula ermanii
Plant_B23_4,X_006,1208,Betula ermanii
Plant_B24_3,X_001,484,Rhododendron spp.
Plant_B25_1,X_004,930,Eubotryoides grayana
Plant_B26_1,X_001,1533,Rhododendron spp.
Plant_B26_2,X_001,284,Rhododendron spp.
Plant_B27_1,X_001,961,Rhododendron spp.
Plant_B27_3,X_006,674,Betula ermanii
Plant_B28_1,X_001,627,Rhododendron spp.
Plant_B28_2,X_004,820,Eubotryoides grayana
Plant_B28_4,X_012,449,Enkianthus campanulatus
Plant_B29_2,X_001,1641,Rhododendron spp.
Plant_B29_3,X_001,1332,Rhododendron spp.
Plant_B30_1,X_001,269,Rhododendron spp.
Plant_B30_4,X_001,603,Rhododendron spp.
Plant_B31_2,X_012,205,Enkianthus campanulatus
Plant_B32_2,X_001,1120,Rhododendron spp.
Plant_B33_2,X_001,761,Rhododendron spp.
Plant_B33_3,X_001,356,Rhododendron spp.
Plant_B34_2,X_001,843,Rhododendron spp.
Plant_B35_2,X_012,201,Enkianthus campanulatus
Plant_B35_3,X_005,453,Pinus parviflora
Plant_B35_4,X_012,867,Enkianthus campanulatus
Plant_B36_2,X_012,574,Enkianthus campanulatus
Plant_B36_3,X_001,1818,Rhododendron spp.
Plant_B37_2,X_001,262,Rhododendron spp.
Plant_B37_4,X_004,1029,Eubotryoides grayana
Plant_B38_3,X_005,740,Pinus parviflora
Plant_B38_4,X_001,1295,Rhododendron spp.
Plant_B39_1,X_001,755,Rhododendron spp.
Plant_B39_4,X_012,367,Enkianthus campanulatus
Plant_B40_2,X_004,555,Eubotryoides grayana
Plant_B40_3,X_004,623,Eubotryoides grayana
Plant_JA10_1,X_001,86,Rhododendron spp.
Plant_JA10_2,X_001,641,Rhododendron spp.
Plant_JA11_1,X_004,912,Eubotryoides grayana
Plant_JA11_2,X_004,1639,Eubotryoides grayana
Plant_JA12_1,X_004,1204,Eubotryoides grayana
Plant_JA12_2,X_004,1771,Eubotryoides grayana
Plant_JA13_1,X_001,926,Rhododendron spp.
Plant_JA13_2,X_001,2382,Rhododendron spp.
Plant_JA14_1,X_001,409,Rhododendron spp.
Plant_JA14_2,X_001,691,Rhododendron spp.
Plant_JA15_1,X_004,269,Eubotryoides grayana
Plant_JA15_2,X_004,1236,Eubotryoides grayana
Plant_JA1_1,X_004,1399,Eubotryoides grayana
Plant_JA1_2,X_004,731,Eubotryoides grayana
Plant_JA1_3,X_005,721,Pinus parviflora
Plant_JA2_1,X_001,1158,Rhododendron spp.
Plant_JA2_2,X_001,1267,Rhododendron spp.
Plant_JA3_1,X_004,105,Eubotryoides grayana
Plant_JA3_2,X_001,894,Rhododendron spp.
Plant_JA3_3,X_005,1469,Pinus parviflora
Plant_JA4_1,X_004,162,Eubotryoides grayana
Plant_JA4_2,X_004,1193,Eubotryoides grayana
Plant_JA4_3,X_004,788,Eubotryoides grayana
Plant_JA4_4,X_005,22,Pinus parviflora
Plant_JA5_1,X_001,485,Rhododendron spp.
Plant_JA5_2,X_001,1263,Rhododendron spp.
Plant_JA6_2,X_002,1215,Vaccinium smallii
Plant_JA7_1,X_001,783,Rhododendron spp.
Plant_JA8_1,X_004,587,Eubotryoides grayana
Plant_JA9_1,X_004,56,Eubotryoides grayana
Plant_JA9_2,X_004,1360,Eubotryoides grayana
Plant_JA9_3,X_004,1532,Eubotryoides grayana
Plant_JB10_1,X_002,1288,Vaccinium smallii
Plant_JB10_2,X_005,323,Pinus parviflora
Plant_JB10_3,X_001,998,Rhododendron spp.
Plant_JB10_4,X_002,1319,Vaccinium smallii
Plant_JB11_1,X_002,150,Vaccinium smallii
Plant_JB11_2,X_001,1148,Rhododendron spp.
Plant_JB11_3,X_001,1671,Rhododendron spp.
Plant_JB11_4,X_001,1920,Rhododendron spp.
Plant_JB12_1,X_001,223,Rhododendron spp.
Plant_JB12_2,X_012,631,Enkianthus campanulatus
Plant_JB12_4,X_002,712,Vaccinium smallii
Plant_JB12_5,X_005,962,Pinus parviflora
Plant_JB13_3,X_002,122,Vaccinium smallii
Plant_JB14_1,X_005,1277,Pinus parviflora
Plant_JB15_1,X_005,965,Pinus parviflora
Plant_JB15_2,X_012,1142,Enkianthus campanulatus
Plant_JB15_3,X_001,1690,Rhododendron spp.
Plant_JB1_1,X_005,747,Pinus parviflora
Plant_JB1_2,X_002,1687,Vaccinium smallii
Plant_JB1_3,X_002,1816,Vaccinium smallii
Plant_JB3_1,X_002,668,Vaccinium smallii
Plant_JB4_1,X_005,1068,Pinus parviflora
Plant_JB5_1,X_001,1417,Rhododendron spp.
Plant_JB6_1,X_005,761,Pinus parviflora
Plant_JB7_1,X_005,514,Pinus parviflora
Plant_JB7_2,X_002,527,Vaccinium smallii
Plant_JB8_2,X_002,373,Vaccinium smallii
Plant_JB9_1,X_004,1187,Eubotryoides grayana
Plant_JB9_3,X_002,1746,Vaccinium smallii
Plant_JB9_4,X_005,354,Pinus parviflora
