,Sample_ID,Identified species,Identities
1,Leaf01,Rhododendron multiflorum,Rhododendron spp.
2,Leaf02,Rhododendron multiflorum,Rhododendron spp.
3,Leaf03,Rhododendron multiflorum,Rhododendron spp.
4,Leaf04,Rhododendron multiflorum,Rhododendron spp.
5,Leaf05,Rhododendron multiflorum,Rhododendron spp.
6,Leaf06,Rhododendron multiflorum,Rhododendron spp.
7,Leaf07,Rhododendron multiflorum,Rhododendron spp.
8,Leaf08,Rhododendron multiflorum,Rhododendron spp.
9,Leaf09,Rhododendron multiflorum,Rhododendron spp.
10,Leaf10,Rhododendron multiflorum,Rhododendron spp.
11,Leaf11,Rhododendron multiflorum,Rhododendron spp.
12,Leaf12,Enkianthus campanulatus,Enkianthus campanulatus
13,Leaf13,Enkianthus campanulatus,Enkianthus campanulatus
14,Leaf14,Enkianthus campanulatus,Enkianthus campanulatus
15,Leaf15,Rhododendron multiflorum,Rhododendron spp.
16,Leaf16,Enkianthus campanulatus,Enkianthus campanulatus
17,Leaf17,Enkianthus campanulatus,Enkianthus campanulatus
18,Leaf18,Enkianthus campanulatus,Enkianthus campanulatus
19,Leaf_19,Enkianthus campanulatus,Enkianthus campanulatus
20,Leaf20,Enkianthus campanulatus,Enkianthus campanulatus
21,Leaf21,Eubotryoides grayana,Eubotryoides grayana
22,Leaf22,Eubotryoides grayana,Eubotryoides grayana
23,Leaf23,Eubotryoides grayana,Eubotryoides grayana
24,Leaf24,Eubotryoides grayana,Eubotryoides grayana
25,Leaf25,Eubotryoides grayana,Eubotryoides grayana
26,Leaf26,Eubotryoides grayana,Eubotryoides grayana
27,Leaf27,Eubotryoides grayana,Eubotryoides grayana
28,Leaf28,Eubotryoides grayana,Eubotryoides grayana
29,Leaf29,Eubotryoides grayana,Eubotryoides grayana
30,Leaf30,Pinus parviflora,Pinus parviflora
31,Leaf31,Pinus parviflora,Pinus parviflora
32,Leaf32,Pinus parviflora,Pinus parviflora
33,Leaf33,Pinus parviflora,Pinus parviflora
34,Leaf34,Pinus parviflora,Pinus parviflora
35,Leaf35,Pinus parviflora,Pinus parviflora
36,Leaf36,Pinus parviflora,Pinus parviflora
37,Leaf37,Pinus parviflora,Pinus parviflora
38,Leaf38,Pinus parviflora,Pinus parviflora
39,Leaf39,Pinus parviflora,Pinus parviflora
40,Leaf40,Pinus parviflora,Pinus parviflora
41,Leaf41,Vaccinium smallii,Vaccinium smallii
42,Leaf42,Vaccinium smallii,Vaccinium smallii
43,Leaf43,Vaccinium smallii,Vaccinium smallii
44,Leaf44,Vaccinium smallii,Vaccinium smallii
45,Leaf45,Vaccinium smallii,Vaccinium smallii
46,Leaf46,Vaccinium smallii,Vaccinium smallii
47,Leaf47,Vaccinium smallii,Vaccinium smallii
48,Leaf48,Vaccinium smallii,Vaccinium smallii
49,Leaf49,Vaccinium smallii,Vaccinium smallii
50,Leaf50,Rhododendron japonicum,Rhododendron spp.
51,Leaf51,Rhododendron japonicum,Rhododendron spp.
52,Leaf52,Rhododendron japonicum,Rhododendron spp.
53,Leaf53,Rhododendron japonicum,Rhododendron spp.
54,Leaf54,Rhododendron japonicum,Rhododendron spp.
55,Leaf55,Rhododendron japonicum,Rhododendron spp.
56,Leaf56,Rhododendron japonicum,Rhododendron spp.
57,Leaf57,Vaccinium smallii,Vaccinium smallii
58,Leaf58,Rhododendron japonicum,Rhododendron spp.
59,Leaf59,Eubotryoides grayana,Eubotryoides grayana
60,Leaf60,Betula ermanii,Betula ermanii
61,Leaf61,Rhododendron multiflorum,Rhododendron spp.
62,Leaf62,Pinus parviflora,Pinus parviflora
63,Leaf_63,Betula ermanii,Betula ermanii
64,Leaf64,Enkianthus campanulatus,Enkianthus campanulatus
65,Leaf65,Pinus parviflora,Pinus parviflora
66,Leaf66,Eubotryoides grayana,Eubotryoides grayana
67,Leaf67,Betula ermanii,Betula ermanii
68,Leaf68,Pinus parviflora,Pinus parviflora
69,Leaf69,Vaccinium smallii,Vaccinium smallii
70,Leaf70,Pinus parviflora,Pinus parviflora
71,Leaf_71,Quercus crispula,Quercus crispula
72,Leaf72,Eubotryoides grayana,Eubotryoides grayana
73,Leaf73,Enkianthus campanulatus,Enkianthus campanulatus
74,Leaf74,Betula ermanii,Betula ermanii
75,Leaf75,Rhododendron multiflorum,Rhododendron spp.
76,Leaf76,Eubotryoides grayana,Eubotryoides grayana
77,Leaf77,Rhododendron japonicum,Rhododendron spp.
78,Leaf78,Rhododendron japonicum,Rhododendron spp.
79,Leaf_79,Rhododendron japonicum,Rhododendron spp.
80,Leaf80,Rhododendron japonicum,Rhododendron spp.
81,Leaf81,Eubotryoides grayana,Eubotryoides grayana
82,Leaf82,Gaultheria adenothrix,Gaultheria adenothrix
83,Leaf83,Pinus parviflora,Pinus parviflora
84,Leaf84,Rhododendron multiflorum,Rhododendron spp.
85,Leaf85,Rhododendron multiflorum,Rhododendron spp.
86,Leaf86,Pinus parviflora,Pinus parviflora
87,Leaf_87,Rhododendron multiflorum,Rhododendron spp.
88,Leaf88,Betula ermanii,Betula ermanii
89,Leaf89,Rhododendron multiflorum,Rhododendron spp.
90,Leaf90,Eubotryoides grayana,Eubotryoides grayana
91,Leaf91,Pinus parviflora,Pinus parviflora
92,Leaf92,Vaccinium smallii,Vaccinium smallii
93,Leaf93,Enkianthus campanulatus,Enkianthus campanulatus
94,Leaf94,Rhododendron multiflorum,Rhododendron spp.
95,Leaf_95,Elliottia paniculata,Elliottia paniculata
96,Leaf96,Eubotryoides grayana,Eubotryoides grayana
97,Leaf97,Enkianthus campanulatus,Enkianthus campanulatus
98,Leaf98,Vaccinium smallii,Vaccinium smallii
99,Leaf99,Rhododendron multiflorum,Rhododendron spp.
100,Leaf_100,Eubotryoides grayana,Eubotryoides grayana
