Sample_ID,site,habitat,position,number,latitude,longitude,elevation,pH
Plant_A01_1,Arayu-Jigoku,Solfatara field,1,1,38.818046,140.726562,607,3.48
Plant_A01_2,Arayu-Jigoku,Solfatara field,1,2,38.818046,140.726562,607,3.48
Plant_A01_3,Arayu-Jigoku,Solfatara field,1,3,38.818046,140.726562,607,3.48
Plant_A02_1,Arayu-Jigoku,Solfatara field,2,1,38.818101,140.726547,607,3.66
Plant_A03_1,Arayu-Jigoku,Solfatara field,3,1,38.818301,140.726886,607,3.78
Plant_A03_2,Arayu-Jigoku,Solfatara field,3,2,38.818301,140.726886,607,3.78
Plant_A03_3,Arayu-Jigoku,Solfatara field,3,3,38.818301,140.726886,607,3.78
Plant_A04_1,Arayu-Jigoku,Solfatara field,4,1,38.818288,140.726962,607,3.66
Plant_A05_1,Arayu-Jigoku,Solfatara field,5,1,38.818242,140.726982,607,3.76
Plant_A05_2,Arayu-Jigoku,Solfatara field,5,2,38.818242,140.726982,607,3.76
Plant_A06_1,Arayu-Jigoku,Solfatara field,6,1,38.81828,140.727018,607,3.9
Plant_A06_2,Arayu-Jigoku,Solfatara field,6,2,38.81828,140.727018,607,3.9
Plant_A07_1,Arayu-Jigoku,Solfatara field,7,1,38.818289,140.727058,607,3.75
Plant_A07_2,Arayu-Jigoku,Solfatara field,7,2,38.818289,140.727058,607,3.75
Plant_A07_3,Arayu-Jigoku,Solfatara field,7,3,38.818289,140.727058,607,3.75
Plant_A08_1,Arayu-Jigoku,Solfatara field,8,1,38.818305,140.727058,608,3.76
Plant_A08_2,Arayu-Jigoku,Solfatara field,8,2,38.818305,140.727058,608,3.76
Plant_A09_1,Arayu-Jigoku,Solfatara field,9,1,38.818349,140.727259,605,3.77
Plant_A09_2,Arayu-Jigoku,Solfatara field,9,2,38.818349,140.727259,605,3.77
Plant_A10_1,Arayu-Jigoku,Solfatara field,10,1,38.818384,140.727427,605,4.08
Plant_A11_1,Arayu-Jigoku,Solfatara field,11,1,38.818342,140.727532,605,3.96
Plant_A11_2,Arayu-Jigoku,Solfatara field,11,2,38.818342,140.727532,605,3.96
Plant_A11_3,Arayu-Jigoku,Solfatara field,11,3,38.818342,140.727532,605,3.96
Plant_A12_1,Arayu-Jigoku,Solfatara field,12,1,38.818415,140.727614,606,3.99
Plant_A12_2,Arayu-Jigoku,Solfatara field,12,2,38.818415,140.727614,606,3.99
Plant_A13_1,Arayu-Jigoku,Solfatara field,13,1,38.818402,140.727616,606,3.52
Plant_A14_1,Arayu-Jigoku,Solfatara field,14,1,38.818371,140.727672,606,3.59
Plant_A14_2,Arayu-Jigoku,Solfatara field,14,2,38.818371,140.727672,606,3.59
Plant_A14_3,Arayu-Jigoku,Solfatara field,14,3,38.818371,140.727672,606,3.59
Plant_A15_1,Arayu-Jigoku,Solfatara field,15,1,38.818402,140.727835,604,3.28
Plant_A15_2,Arayu-Jigoku,Solfatara field,15,2,38.818402,140.727835,604,3.28
Plant_A16_1,Arayu-Jigoku,Solfatara field,16,1,38.818408,140.728144,604,3.12
Plant_A17_1,Arayu-Jigoku,Solfatara field,17,1,38.81858,140.728243,602,3.31
