OTU,Count,Genus,Top_hit
X_003,16,unidentified_Araliaceae,Gamblea innovans
X_013,8,Clethra,
X_014,7,Acer,
X_019,26,Toxicodendron,
X_022,4,Gaultheria,
X_138,1,Triticum,
X_145,1,Rhododendron,
X_152,1,Pinus,
X_171,2,Miscanthus,
X_202,1,unidentified_Gaultherieae,
X_218,1,unidentified_Vaccinieae,Vaccinium myrtillus
X_223,1,Pinus,
X_228,1,Pinus,
X_232,1,Clethra,
X_238,1,Pinus,
X_244,1,Pinus,
X_245,23,Toxicodendron,
X_250,1,unidentified_Anacardiaceae,Toxicodendron trichocarpum
X_254,1,Pinus,
X_256,1,Pinus,
X_276,2,unidentified_Ericaceae,Gaultheria antarctica
X_277,1,Enkianthus,
X_301,1,unidentified_Ericaceae,Rhododendron cinnabarinum
X_309,1,Toxicodendron,
X_320,1,Vaccinium,
X_326,4,Pinus,
X_336,1,Pinus,
X_340,1,Miscanthus,
X_343,2,Pinus,
X_350,1,Miscanthus,
X_351,1,unidentified_Ericoideae,Elliottia bracteata
X_363,4,Pinus,
X_365,1,Miscanthus,
X_367,1,Pinus,
X_372,2,Rhododendron,
X_373,1,Enkianthus,
X_377,1,Toxicodendron,
X_382,2,Pinus,
X_391,1,Pinus,
X_409,2,unidentified_Vaccinieae,Vaccinium angustifolium x Vaccinium corymbosum
X_424,2,Pinus,
X_425,1,Pinus,
X_426,1,Pinus,
X_428,1,Pinus,
X_429,1,Vaccinium,
X_435,1,Kurzia,
X_437,1,Magnolia,
X_441,1,Gaultheria,
X_444,1,Pinus,
X_446,1,Pinus,
X_467,1,Pinus,
X_468,1,Pinus,
X_469,1,Pinus,
X_470,1,unidentified_Gaultherieae,Gaultheria sp.
X_473,1,Vaccinium,
X_480,1,Pinus,
X_484,1,unidentified_Poaceae,Chusquea serpens
