SID,site,habitat,position,number,latitude,longitude,elevation,pH,host,sample_type,Sample_ID
A1,Arayu-Jigoku,Solfatara field,1,NA,38.818046,140.726562,607,3.48,NA,Soil,Soil_16S_A1
A3,Arayu-Jigoku,Solfatara field,3,NA,38.818301,140.726886,607,3.78,NA,Soil,Soil_16S_A3
A12,Arayu-Jigoku,Solfatara field,12,NA,38.818415,140.727614,606,3.99,NA,Soil,Soil_16S_A12
A22,Arayu-Jigoku,Solfatara field,22,NA,38.818567,140.728443,599,3.21,NA,Soil,Soil_16S_A22
A32,Arayu-Jigoku,Solfatara field,32,NA,38.818798,140.728836,595,2.84,NA,Soil,Soil_16S_A32
B1,Arayu-Jigoku,Forest edge,1,NA,38.8187435,140.726338,606,3.66,NA,Soil,Soil_16S_B1
B20,Arayu-Jigoku,Forest edge,20,NA,38.818224,140.726876,607,2.56,NA,Soil,Soil_16S_B20
B28,Arayu-Jigoku,Forest edge,28,NA,38.818361,140.727735,606,2.98,NA,Soil,Soil_16S_B28
B13,Arayu-Jigoku,Forest edge,13,NA,38.817897,140.72664,610,2.88,NA,Soil,Soil_16S_B13
B40,Arayu-Jigoku,Forest edge,40,NA,38.818815,140.72892,592,2.23,NA,Soil,Soil_16S_B40
JA1,Ofukasawa,Solfatara field,1,NA,38.811815,140.713531,528,3.16,NA,Soil,Soil_16S_JA1
JA7,Ofukasawa,Solfatara field,7,NA,38.811427,140.713116,529,2.96,NA,Soil,Soil_16S_JA7
JA9,Ofukasawa,Solfatara field,9,NA,38.81108,140.712355,527,2.79,NA,Soil,Soil_16S_JA9
JA11,Ofukasawa,Solfatara field,11,NA,38.811121,140.712915,526,3.11,NA,Soil,Soil_16S_JA11
JA15,Ofukasawa,Solfatara field,15,NA,38.811245,140.713017,527,3.46,NA,Soil,Soil_16S_JA15
JB1,Ofukasawa,Forest edge,1,NA,38.811858,140.713577,529,2.57,NA,Soil,Soil_16S_JB1
JB2,Ofukasawa,Forest edge,2,NA,38.811584,140.713271,529,2.87,NA,Soil,Soil_16S_JB2
JB6,Ofukasawa,Forest edge,6,NA,38.81137,140.713013,529,2.65,NA,Soil,Soil_16S_JB6
JB11,Ofukasawa,Forest edge,11,NA,38.811329,140.712776,532,2.65,NA,Soil,Soil_16S_JB11
JB15,Ofukasawa,Forest edge,15,NA,38.811345,140.712607,537,2.84,NA,Soil,Soil_16S_JB15
