Sample_ID,Na,K,Mg,Ca,Al,Zn,Pb,Cd,Ni,Co,Si,Mn,Fe,Cr,Cu,Sr,Li,Rb
blank1-a,1.303874909,0.584539485,0.019519531,0.200561747,0.002595533,0.06072059,-0.000251424,-9.48434E-05,-0.000909814,0.000637717,0.062788286,7.88473E-05,-0.000234082,-0.001197725,0.005489263,0.004546472,0.000157164,0.001095258
blank2-a,0.85416517,0.241228024,0.015897715,0.129709378,0.000989806,0.031309912,-0.000612673,-8.01067E-05,-0.000877503,0.000614427,0.082294672,0.000142013,-0.000526995,-0.001011194,0.001763571,0.003335997,0.000137071,0.001430524
blank3-a,0.193331967,0.097223186,0.005266365,0.047509689,-0.001084693,0.010990962,-0.00088815,-0.000260809,-0.000891408,0.000627991,0.068827858,5.82E-05,-0.00060956,-0.001135016,0.000910613,0.002717865,9.57E-05,7.79E-05
blank4-a,0.143635898,0.085634073,0.005815221,0.049192458,0.000540302,0.004783781,-0.00027828,-0.000101626,-0.000960221,0.000671749,0.07210324,6.39E-05,-0.000533723,-0.001106913,0.002718966,0.002036257,0.00014275,0.001365034
JA1-a,1.544260972,1.880284873,0.233507489,1.136177529,0.095878348,0.074458006,0.009491732,-3.40E-05,-0.000788272,-0.009070899,0.788732324,0.007227624,0.210492999,-0.000724847,0.005223624,0.009826851,0.000239924,0.005890328
JA7-a,0.553716066,0.644196691,0.134123787,0.399918793,0.076443026,0.036139743,0.008166543,-6.68E-05,-0.000759851,-0.009336952,0.296576386,0.00334547,0.209140886,-0.000635052,0.002263986,0.006399978,0.000202112,0.002063012
JA9-a,1.5607112,1.086946344,0.133676687,0.720874567,0.012421334,0.071152583,0.033789598,-3.52E-05,-0.000575155,-0.001700134,1.29359814,0.01145759,0.058479495,-0.000827867,0.002272346,0.007375298,0.00023931,0.004605707
JA11-a,1.81184276,2.503562094,0.590158465,8.409991941,0.105104458,0.090694878,0.002401516,-2.65E-05,0.000467462,-0.002290768,2.270220867,0.038090222,0.072369518,-0.000478416,0.001515621,0.024447301,0.000344816,0.012451489
JA15-a,1.4858229,1.628114418,0.355001297,5.390974394,0.154697346,0.085270205,0.007205725,-2.07E-05,-0.000440016,-0.002962447,1.428304462,0.031179767,0.086987635,-0.000583265,0.003762111,0.016478114,0.000255815,0.006877945
A1-a,1.812990105,0.965095998,0.254727285,0.640529513,0.010369194,0.071178968,0.00377323,6.69E-05,-0.000687313,-0.00045285,1.65168288,0.00860156,0.025276088,-0.000689131,0.001512963,0.009718125,0.000183092,0.002856578
A3-a,1.737338047,1.447216316,0.205862193,0.474000657,0.008805864,0.068370962,0.003626627,0.000155488,-0.000458069,-0.000690232,2.726246167,0.00697725,0.027426246,-0.000816252,0.002501364,0.006744108,0.000206392,0.004686007
A7-a,1.597103657,0.986572323,0.158076402,0.399307213,0.003923668,0.057467444,0.003553396,-0.000176774,-0.000573717,-0.000535242,1.360773348,0.006747972,0.025607002,-0.00086395,0.002600556,0.005594614,0.000183155,0.003065399
A8-a,1.590505983,0.871756288,0.144472967,0.382030797,0.007610194,0.064392931,0.006517428,0.000106322,-0.000498523,-7.01E-07,1.432314444,0.00600241,0.015255768,-0.000926744,0.002137451,0.006506363,0.000167393,0.002290385
A12-a,1.781646313,0.750926292,0.136743696,0.51221794,0.005756819,0.074582212,0.006268652,-7.97E-05,-0.000487046,-0.000722786,0.847637406,0.005104452,0.0296222,-0.000876705,0.0029286,0.007254191,0.000173215,0.002419623
A22-a,1.471837611,1.334103587,0.144594254,0.408852698,0.006647919,0.06076042,0.001033226,1.85E-05,-0.000770372,-0.001478559,1.020946213,0.006140221,0.046724087,-0.000870051,0.001533546,0.006705893,0.000173774,0.004083151
A24-a,1.96040382,1.108748719,0.551060063,2.269913408,0.006801824,0.064166843,0.003834107,8.66E-06,-0.000157904,-0.000942733,1.115042735,0.003914161,0.033468655,-0.000665137,0.004615017,0.014049965,0.000292015,0.002578239
A28-a,2.518644506,1.237968873,0.164155793,0.515327786,0.008969309,0.101389019,0.003988474,-0.000101344,-0.000701149,-0.002301717,2.22085292,0.008992773,0.066149763,-0.000954252,0.002694741,0.007868334,0.000220724,0.003414315
A32-a,1.232355703,0.512053017,0.078051914,0.357210356,0.016733046,0.059213513,0.000954459,-6.85E-05,-0.000724989,-0.000399968,1.022683675,0.002577779,0.020747016,-0.000686408,0.001509826,0.006303789,0.000172392,0.001584513
A34-a,1.555142991,3.031512882,0.696619874,1.551461958,0.032009609,0.06183158,0.007185185,-1.84E-06,-0.000672363,-0.003533112,4.157975298,0.129157302,0.089529799,-0.000629084,0.002880664,0.010387813,0.000353688,0.00809618
B1-a,3.748382341,9.254741357,3.276423583,9.981539541,0.877152548,0.215165506,0.048076566,0.003030933,0.000942619,0.000381807,1.489577047,0.168139502,0.13012146,-0.000745566,0.006006637,0.095618678,0.000327626,0.025692356
B13-a,5.158031725,15.20959141,9.043260519,6.668793451,0.339689145,0.14472785,0.04118527,0.001446164,0.001130592,-0.004885445,10.99455731,0.088676633,0.134894263,-0.000749942,0.004747875,0.078509432,0.000581008,0.077103893
B20-a,3.412206279,7.884022908,3.140407559,0.779186709,0.27065474,0.079607127,0.047202574,0.000600506,-0.000382609,-0.003676484,2.080606417,0.04488652,0.098785349,-0.000743909,0.00220405,0.01134962,0.000310825,0.033753418
B28-a,1.694102833,3.121584709,0.819327955,2.390672256,0.029083997,0.080290792,0.002453611,0.000378754,-0.000653094,-0.00251351,2.383892337,0.606366704,0.064833454,-0.000616836,0.003895864,0.013063568,0.000192731,0.011824437
