Sample_ID,Al
blank1,0.00111223
blank2,0.000261871
blank3,-0.000285288
blank4,-0.000397683
blank5,0.000331474
JA1,1.038511073
JA7,2.761736152
JA9,0.407339667
JA11,0.337756495
JA15,3.628673181
A1,0.088590201
A3,0.15094852
A7,0.112892317
A8,0.074628975
A12,0.153449253
A22,0.078376791
A24,0.091058713
A28,0.273257846
A32,0.140603114
A34,0.356419639
B1,5.044237892
B13,4.34369788
B20,3.131250504
B28,0.231330314
B31,
B35,1.041625954
B38,1.78616958
B40,1.09726393
JB1,1.2346113
JB2,4.665627329
JB6,1.03672764
JB11,3.291405185
JB15,4.552966452
