"Sample_ID","site","habitat","position","latitude","longitude","elevation","pH"
"A1","Arayu-Jigoku","Solfatara field",1,38.818046,140.726562,607,3.48
"A2","Arayu-Jigoku","Solfatara field",2,38.818101,140.726547,607,3.66
"A3","Arayu-Jigoku","Solfatara field",3,38.818301,140.726886,607,3.78
"A4","Arayu-Jigoku","Solfatara field",4,38.818288,140.726962,607,3.66
"A5","Arayu-Jigoku","Solfatara field",5,38.818242,140.726982,607,3.76
"A6","Arayu-Jigoku","Solfatara field",6,38.81828,140.727018,607,3.9
"A7","Arayu-Jigoku","Solfatara field",7,38.818289,140.727058,607,3.75
"A8","Arayu-Jigoku","Solfatara field",8,38.818305,140.727058,608,3.76
"A9","Arayu-Jigoku","Solfatara field",9,38.818349,140.727259,605,3.77
"A10","Arayu-Jigoku","Solfatara field",10,38.818384,140.727427,605,4.08
"A11","Arayu-Jigoku","Solfatara field",11,38.818342,140.727532,605,3.96
"A12","Arayu-Jigoku","Solfatara field",12,38.818415,140.727614,606,3.99
"A13","Arayu-Jigoku","Solfatara field",13,38.818402,140.727616,606,3.52
"A14","Arayu-Jigoku","Solfatara field",14,38.818371,140.727672,606,3.59
"A15","Arayu-Jigoku","Solfatara field",15,38.818402,140.727835,604,3.28
"A16","Arayu-Jigoku","Solfatara field",16,38.818408,140.728144,604,3.12
"A17","Arayu-Jigoku","Solfatara field",17,38.81858,140.728243,602,3.31
"A18","Arayu-Jigoku","Solfatara field",18,38.818504,140.72827,603,3.51
"A19","Arayu-Jigoku","Solfatara field",19,38.838497,140.728337,603,3.42
"A20","Arayu-Jigoku","Solfatara field",20,38.81849,140.728386,602,3.12
"A21","Arayu-Jigoku","Solfatara field",21,38.818533,140.728424,602,3.11
"A22","Arayu-Jigoku","Solfatara field",22,38.818567,140.728443,599,3.21
"A23","Arayu-Jigoku","Solfatara field",23,38.81869,140.728524,598,3.03
"A24","Arayu-Jigoku","Solfatara field",24,38.818658,140.728505,599,2.97
"A25","Arayu-Jigoku","Solfatara field",25,38.818761,140.728444,599,2.9
"A26","Arayu-Jigoku","Solfatara field",26,38.818758,140.728511,599,3.24
"A27","Arayu-Jigoku","Solfatara field",27,38.818709,140.728555,598,2.79
"A28","Arayu-Jigoku","Solfatara field",28,38.818769,140.728646,596,2.43
"A29","Arayu-Jigoku","Solfatara field",29,38.818733,140.728679,596,3.12
"A30","Arayu-Jigoku","Solfatara field",30,38.818769,140.728697,595,3.18
"A31","Arayu-Jigoku","Solfatara field",31,38.818798,140.7287,595,2.93
