Sample_ID,site,habitat,position,latitude,longitude,elevation,pH
JA1,Ofukasawa,Solfatara field,1,38.811815,140.713531,528,3.16
JA7,Ofukasawa,Solfatara field,7,38.811427,140.713116,529,2.96
JA9,Ofukasawa,Solfatara field,9,38.81108,140.712355,527,2.79
JA11,Ofukasawa,Solfatara field,11,38.811121,140.712915,526,3.11
JA15,Ofukasawa,Solfatara field,15,38.811245,140.713017,527,3.46
A1,Arayu-Jigoku,Solfatara field,1,38.818046,140.726562,607,3.48
A3,Arayu-Jigoku,Solfatara field,3,38.818046,140.726562,607,3.48
A7,Arayu-Jigoku,Solfatara field,7,38.818289,140.727058,607,3.75
A8,Arayu-Jigoku,Solfatara field,8,38.818305,140.727058,608,3.76
A12,Arayu-Jigoku,Solfatara field,12,38.818415,140.727614,606,3.99
A22,Arayu-Jigoku,Solfatara field,22,38.818567,140.728443,599,3.21
A24,Arayu-Jigoku,Solfatara field,24,38.818658,140.728505,599,2.97
A28,Arayu-Jigoku,Solfatara field,28,38.818769,140.728646,596,2.43
A32,Arayu-Jigoku,Solfatara field,32,38.818798,140.728836,595,2.84
A34,Arayu-Jigoku,Solfatara field,34,38.818856,140.728865,592,3.2
B1,Arayu-Jigoku,Forest edge,1,38.8187435,140.726338,606,3.66
B13,Arayu-Jigoku,Forest edge,13,38.817897,140.72664,610,2.88
B20,Arayu-Jigoku,Forest edge,20,38.818224,140.726876,607,2.56
B28,Arayu-Jigoku,Forest edge,28,38.818361,140.727735,606,2.98
B31,Arayu-Jigoku,Forest edge,31,38.818438,140.728475,603,2.45
B35,Arayu-Jigoku,Forest edge,35,38.818835,140.728595,599,2.04
B38,Arayu-Jigoku,Forest edge,38,38.818799,140.728768,595,2.61
B40,Arayu-Jigoku,Forest edge,40,38.818815,140.72892,592,2.23
JB1,Ofukasawa,Forest edge,1,38.811858,140.713577,529,2.57
JB2,Ofukasawa,Forest edge,2,38.811584,140.713271,529,2.87
JB6,Ofukasawa,Forest edge,6,38.81137,140.713013,529,2.65
JB11,Ofukasawa,Forest edge,11,38.811329,140.712776,532,2.65
JB15,Ofukasawa,Forest edge,15,38.811345,140.712607,537,2.84
